seed,dgp,model_key,model,obj_nll,obj_prob_mse,obj_prob_mae,mo_nll,mo_prob_mse,mo_prob_mae,decision_regret,learned_b_global,learned_b_obj0,scorer_noise_sigma0,learned_b_obj1,scorer_noise_sigma1,learned_b_obj2,scorer_noise_sigma2
9,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6698674413807242,0.016641660860407678,0.09700849225039243,0.18440952153590182,-0.5727659463882446,-0.1801963448524475,0.3,-0.8709914088249207,1.2,-0.5368578433990479,0.7
9,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6290953073191498,0.014952194961089599,0.09324920128566629,0.6554812493997194,0.012003788773563834,0.08281452192124907,0.18440952153590182,-0.5727659463882446,-0.1801963448524475,0.3,-0.8709914088249207,1.2,-0.5368578433990479,0.7
9,objective_specific_noise,oracle,Oracle latent utility,,,,0.6307336208674373,0.0,0.0,0.0,-0.5727659463882446,-0.1801963448524475,0.3,-0.8709914088249207,1.2,-0.5368578433990479,0.7
0,equal_noise_control,standard,Standard scalarized BT,0.6502485694807629,0.019427789866322744,0.10988063527909447,0.6652664983841086,0.013557030617934068,0.0914022490018968,0.17105176195336724,-0.4373331069946289,-0.350527286529541,0.7,-0.5254418253898621,0.7,-0.43509653210639954,0.7
0,equal_noise_control,shared_precision,Shared-precision BT,0.6336748059943818,0.014508079805445183,0.0961440164544837,0.65681663065403,0.010726023573982245,0.08085481956797416,0.17105176195336724,-0.4373331069946289,-0.350527286529541,0.7,-0.5254418253898621,0.7,-0.43509653210639954,0.7
0,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6652770445169408,0.013593773968758615,0.09156620596005174,0.1704054385863708,-0.4373331069946289,-0.350527286529541,0.7,-0.5254418253898621,0.7,-0.43509653210639954,0.7
0,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6341176779020647,0.014618489106363588,0.09657606159582584,0.656812065233735,0.010769515964710548,0.08102959891103642,0.1704054385863708,-0.4373331069946289,-0.350527286529541,0.7,-0.5254418253898621,0.7,-0.43509653210639954,0.7
0,equal_noise_control,oracle,Oracle latent utility,,,,0.6332560413341736,0.0,0.0,0.0,-0.4373331069946289,-0.350527286529541,0.7,-0.5254418253898621,0.7,-0.43509653210639954,0.7
1,equal_noise_control,standard,Standard scalarized BT,0.6498693844329569,0.01944096298967698,0.11032844347306334,0.6632977005360027,0.013794020749427635,0.09270691315589698,0.1683411371774971,-0.5017465949058533,-0.35821229219436646,0.7,-0.6278502345085144,0.7,-0.5207648277282715,0.7
1,equal_noise_control,shared_precision,Shared-precision BT,0.6336358953151694,0.01446144989566878,0.0969104622242771,0.6546627629381542,0.010668821929738108,0.08122021423974965,0.1683411371774971,-0.5017465949058533,-0.35821229219436646,0.7,-0.6278502345085144,0.7,-0.5207648277282715,0.7
1,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6633648350015435,0.013844141393152596,0.0928759772959656,0.16871033013863346,-0.5017465949058533,-0.35821229219436646,0.7,-0.6278502345085144,0.7,-0.5207648277282715,0.7
1,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6339282238404759,0.014695053397446084,0.09783855815114699,0.654891638927735,0.010742582319276875,0.08148761334967687,0.16871033013863346,-0.5017465949058533,-0.35821229219436646,0.7,-0.6278502345085144,0.7,-0.5207648277282715,0.7
1,equal_noise_control,oracle,Oracle latent utility,,,,0.629828414451469,0.0,0.0,0.0,-0.5017465949058533,-0.35821229219436646,0.7,-0.6278502345085144,0.7,-0.5207648277282715,0.7
2,equal_noise_control,standard,Standard scalarized BT,0.656507595725382,0.019661436452544725,0.11062111614811927,0.664797001791733,0.013878663336180876,0.09253602912471338,0.16951710014507285,-0.4109739661216736,-0.5041707158088684,0.7,-0.3464545011520386,0.7,-0.38559970259666443,0.7
2,equal_noise_control,shared_precision,Shared-precision BT,0.6380753686769606,0.014631814316168678,0.09622536379911953,0.6568555930930218,0.011092589846554689,0.08216228807201459,0.16951710014507285,-0.4109739661216736,-0.5041707158088684,0.7,-0.3464545011520386,0.7,-0.38559970259666443,0.7
2,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6647909697748646,0.013897932085718675,0.09258666593998711,0.16944905805400984,-0.4109739661216736,-0.5041707158088684,0.7,-0.3464545011520386,0.7,-0.38559970259666443,0.7
2,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6382974266361464,0.014738727159442723,0.09659061872116881,0.6568372060959611,0.011117970231739263,0.08219400627922062,0.16944905805400984,-0.4109739661216736,-0.5041707158088684,0.7,-0.3464545011520386,0.7,-0.38559970259666443,0.7
2,equal_noise_control,oracle,Oracle latent utility,,,,0.632386353298648,0.0,0.0,0.0,-0.4109739661216736,-0.5041707158088684,0.7,-0.3464545011520386,0.7,-0.38559970259666443,0.7
3,equal_noise_control,standard,Standard scalarized BT,0.6523804785875827,0.019685362523776912,0.11102804707275658,0.6648653745278061,0.013973021208870735,0.09316080226236836,0.16733145428040103,-0.5275139212608337,-0.44933977723121643,0.7,-0.3841917812824249,0.7,-0.7778672575950623,0.7
3,equal_noise_control,shared_precision,Shared-precision BT,0.6350174953371603,0.01452046858465479,0.09705096036071555,0.6554374779159249,0.01064125738280216,0.08067843284703352,0.16733145428040103,-0.5275139212608337,-0.44933977723121643,0.7,-0.3841917812824249,0.7,-0.7778672575950623,0.7
3,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6654177045275547,0.014124829441192168,0.09374920305112242,0.16906059804666806,-0.5275139212608337,-0.44933977723121643,0.7,-0.3841917812824249,0.7,-0.7778672575950623,0.7
3,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6364055885362919,0.015002386309503223,0.09852031954742542,0.6560481860700033,0.010874635298472496,0.08174553684902126,0.16906059804666806,-0.5275139212608337,-0.44933977723121643,0.7,-0.3841917812824249,0.7,-0.7778672575950623,0.7
3,equal_noise_control,oracle,Oracle latent utility,,,,0.6322412184404382,0.0,0.0,0.0,-0.5275139212608337,-0.44933977723121643,0.7,-0.3841917812824249,0.7,-0.7778672575950623,0.7
4,equal_noise_control,standard,Standard scalarized BT,0.6552824098877847,0.019386179807544836,0.10976213943280287,0.6623844191837345,0.01372333907266512,0.09216871175533731,0.16647269133930648,-0.5171893835067749,-0.5198233723640442,0.7,-0.5363827347755432,0.7,-0.49537381529808044,0.7
4,equal_noise_control,shared_precision,Shared-precision BT,0.6368023381458833,0.014494139498516667,0.09692636015979147,0.6537388583104827,0.010564672490486272,0.08049014711584687,0.16647269133930648,-0.5171893835067749,-0.5198233723640442,0.7,-0.5363827347755432,0.7,-0.49537381529808044,0.7
4,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.66237735588659,0.0137166098112814,0.09214709880895387,0.16638752449653038,-0.5171893835067749,-0.5198233723640442,0.7,-0.5363827347755432,0.7,-0.49537381529808044,0.7
4,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6368433547427672,0.014496440480653572,0.09692659178476778,0.6537196661770664,0.010552680537420171,0.08043400440113704,0.16638752449653038,-0.5171893835067749,-0.5198233723640442,0.7,-0.5363827347755432,0.7,-0.49537381529808044,0.7
4,equal_noise_control,oracle,Oracle latent utility,,,,0.6318503478901509,0.0,0.0,0.0,-0.5171893835067749,-0.5198233723640442,0.7,-0.5363827347755432,0.7,-0.49537381529808044,0.7
5,equal_noise_control,standard,Standard scalarized BT,0.6420629643996747,0.019372300547212885,0.1096363855594193,0.6629344569006563,0.01373564023791657,0.09230671135132269,0.16854719383498817,-0.47330155968666077,-0.42940548062324524,0.7,-0.4686555564403534,0.7,-0.5212612748146057,0.7
5,equal_noise_control,shared_precision,Shared-precision BT,0.6274555194302432,0.01448329388986213,0.09627558228441542,0.6540421766533697,0.010717513141371123,0.08087969053863522,0.16854719383498817,-0.47330155968666077,-0.42940548062324524,0.7,-0.4686555564403534,0.7,-0.5212612748146057,0.7
5,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6629615990117429,0.013745011288991037,0.09234125130344921,0.16885096556184997,-0.47330155968666077,-0.42940548062324524,0.7,-0.4686555564403534,0.7,-0.5212612748146057,0.7
